CustomerID,FirstName,LastName,Email,Phone,Country,SignupDate
1,Crystal,Diaz,crystal.diaz@yahoo.com,(678)729-3539x68588,Jordan,2024-09-06
2,Julie,Day,julie.day@hotmail.com,001-396-694-9372,Mongolia,2024-12-02
3,Chelsea,Nicholson,chelsea.nicholson@yahoo.com,290-725-6767x695,French Polynesia,2024-05-16
4,Adam,Cortez,adam.cortez@gmail.com,468-037-5479,Iraq,2023-07-13
5,Andrea,Steele,andrea.steele@gmail.com,(178)915-5515,Botswana,2023-11-21
6,Antonio,Edwards,antonio.edwards@yahoo.com,001-490-706-0631x154,Hungary,2023-08-13
7,Ryan,Daugherty,ryan.daugherty@gmail.com,734.474.7270,Malaysia,2024-09-19
8,Nancy,Erickson,nancy.erickson@hotmail.com,9516272971,Ethiopia,2023-07-24
9,Sarah,Johnson,sarah.johnson@yahoo.com,815.790.6231,Slovakia (Slovak Republic),2023-06-05
10,Tommy,Robinson,tommy.robinson@hotmail.com,001-412-428-6177,Uzbekistan,2023-12-23
11,Amber,Kline,amber.kline@yahoo.com,7817611189,Ireland,2024-05-26
12,Jimmy,Lane,jimmy.lane@yahoo.com,(489)475-6058x6021,Isle of Man,2024-09-21
13,Angel,Willis,angel.willis@hotmail.com,+1-797-077-2509x0441,Monaco,2023-07-15
14,Matthew,Mitchell,matthew.mitchell@hotmail.com,852-652-4378x8446,Micronesia,2024-09-27
15,Tina,Smith,tina.smith@yahoo.com,(674)637-1876x4937,Andorra,2024-12-27
16,Austin,Wilson,austin.wilson@yahoo.com,931-404-7979x86749,Gibraltar,2023-06-21
17,William,Gray,william.gray@hotmail.com,049.681.3471,Rwanda,2024-09-10
18,Sara,Johnson,sara.johnson@gmail.com,510.571.3711x3076,Uganda,2024-05-06
19,Dylan,White,dylan.white@gmail.com,+1-953-495-3313,Equatorial Guinea,2024-01-01
20,Monique,Sawyer,monique.sawyer@yahoo.com,589-367-1403x02504,Holy See (Vatican City State),2024-04-23
21,Catherine,Beck,catherine.beck@gmail.com,+1-052-518-8800x9796,Uganda,2024-09-06
22,Maurice,Dickerson,maurice.dickerson@hotmail.com,(444)892-8042,Brazil,2025-04-04
23,Michael,Campbell,michael.campbell@gmail.com,349.994.8236,Niue,2024-08-12
24,Kathryn,Johnson,kathryn.johnson@yahoo.com,(343)939-1996,Liechtenstein,2024-05-31
25,Misty,Rose,misty.rose@yahoo.com,001-384-228-4101x1452,Belarus,2025-02-23
26,Kathryn,Duncan,kathryn.duncan@hotmail.com,900-762-2660x057,Anguilla,2024-07-18
27,Nicole,Chaney,nicole.chaney@gmail.com,(406)617-0167x172,Kyrgyz Republic,2024-02-03
28,David,Callahan,david.callahan@gmail.com,001-379-824-7061x980,United States of America,2024-10-11
29,Joseph,Jackson,joseph.jackson@yahoo.com,2194902755,Anguilla,2025-03-10
30,Justin,Williams,justin.williams@gmail.com,976-878-6518,Gambia,2025-03-27
31,Heidi,Avery,heidi.avery@yahoo.com,143-722-3447x597,Yemen,2023-04-26
32,Melissa,Taylor,melissa.taylor@yahoo.com,+1-833-895-8088,Montserrat,2024-11-19
33,Deborah,Davis,deborah.davis@hotmail.com,855.282.7340,Switzerland,2023-12-15
34,Susan,Morgan,susan.morgan@gmail.com,001-487-258-7336,Swaziland,2024-06-08
35,Dan,Schwartz,dan.schwartz@yahoo.com,417.146.7950x50952,Tajikistan,2024-02-06
36,Rita,Bowman,rita.bowman@hotmail.com,093-190-2008x162,Ireland,2024-12-17
37,Ashley,Richardson,ashley.richardson@yahoo.com,+1-899-385-4617x399,Tokelau,2023-05-04
38,Troy,Harrison,troy.harrison@yahoo.com,+1-519-346-3980,Madagascar,2024-03-31
39,Jared,Howard,jared.howard@hotmail.com,+1-789-152-5606x4753,Uzbekistan,2024-10-26
40,Tammy,White,tammy.white@yahoo.com,+1-086-848-6495x85139,Netherlands Antilles,2024-01-25
41,Michael,Perkins,michael.perkins@gmail.com,001-292-406-0299,Egypt,2023-06-17
42,Alicia,Huynh,alicia.huynh@yahoo.com,807-868-7944x392,Burkina Faso,2023-08-27
43,Holly,Morrow,holly.morrow@yahoo.com,001-702-066-7790,Solomon Islands,2024-05-07
44,Alexis,Cook,alexis.cook@gmail.com,(120)005-8601x32308,Tajikistan,2024-09-25
45,Eric,Smith,eric.smith@hotmail.com,001-475-654-6189,Northern Mariana Islands,2024-11-17
46,Gary,Brandt,gary.brandt@gmail.com,8169753177,Macedonia,2023-11-09
47,Sharon,Brown,sharon.brown@hotmail.com,001-388-858-9600,Falkland Islands (Malvinas),2023-11-25
